;;;;;;;;;;;X
PROV0;（搭乗中）;;;;;;;;;;X
PROV1;レイキャヴィク;;;;;;;;;;X
PROV2;ヘプン;;;;;;;;;;X
PROV3;ストーノウェイ;;;;;;;;;;X
PROV4;アッスウェイズ;;;;;;;;;;X
PROV5;スカパフロー;;;;;;;;;;X
PROV6;インヴァネス;;;;;;;;;;X
PROV7;アバディーン;;;;;;;;;;X
PROV8;ダンファームリン;;;;;;;;;;X
PROV9;グラスゴー;;;;;;;;;;X
PROV10;エディンバラ;;;;;;;;;;X
PROV11;サンダーランド;;;;;;;;;;X
PROV12;ブラックプール;;;;;;;;;;X
PROV13;シェフィールド;;;;;;;;;;X
PROV14;リヴァプール;;;;;;;;;;X
PROV15;カーディフ;;;;;;;;;;X
PROV16;バーミンガム;;;;;;;;;;X
PROV17;ノリッジ;;;;;;;;;;X
PROV18;カレー;;;;;;;;;;X
PROV19;ロンドン;;;;;;;;;;X
PROV20;ドーバー;;;;;;;;;;X
PROV21;ポーツマス;;;;;;;;;;X
PROV22;ブリストル;;;;;;;;;;X
PROV23;プリマス;;;;;;;;;;X
PROV24;コーク;;;;;;;;;;X
PROV25;ゴールウェイ;;;;;;;;;;X
PROV26;スライゴ;;;;;;;;;;X
PROV27;レターケニー;;;;;;;;;;X
PROV28;ベルファスト;;;;;;;;;;X
PROV29;ポータダウン;;;;;;;;;;X
PROV30;ダブリン;;;;;;;;;;X
PROV31;マルタ;;;;;;;;;;X
PROV32;ブレスト;;;;;;;;;;X
PROV33;レンヌ;;;;;;;;;;X
PROV34;ロリアン;;;;;;;;;;X
PROV35;ナント;;;;;;;;;;X
PROV36;アンジェー;;;;;;;;;;X
PROV37;アヴランシュ;;;;;;;;;;X
PROV38;シェルブール;;;;;;;;;;X
PROV39;カーン;;;;;;;;;;X
PROV40;アルジャンタン;;;;;;;;;;X
PROV41;ルアーヴル;;;;;;;;;;X
PROV42;ディエップ;;;;;;;;;;X
PROV43;ダンケルク;;;;;;;;;;X
PROV44;リール;;;;;;;;;;X
PROV45;ゲント;;;;;;;;;;X
PROV46;ロッテルダム;;;;;;;;;;X
PROV47;アムステルダム;;;;;;;;;;X
PROV48;ユトレヒト;;;;;;;;;;X
PROV49;アイントホーフェン;;;;;;;;;;X
PROV50;アントワープ;;;;;;;;;;X
PROV51;ブリュッセル;;;;;;;;;;X
PROV52;モンス;;;;;;;;;;X
PROV53;ヴァランシエンヌ;;;;;;;;;;X
PROV54;アミアン;;;;;;;;;;X
PROV55;コンピエーニュ;;;;;;;;;;X
PROV56;パリ;;;;;;;;;;X
PROV57;オルレアン;;;;;;;;;;X
PROV58;ルマン;;;;;;;;;;X
PROV59;ショーレ;;;;;;;;;;X
PROV60;トゥール;;;;;;;;;;X
PROV61;ブールジュ;;;;;;;;;;X
PROV62;オセール;;;;;;;;;;X
PROV63;トロワ;;;;;;;;;;X
PROV64;ランス;;;;;;;;;;X
PROV65;ナミュール;;;;;;;;;;X
PROV66;アーヘン;;;;;;;;;;X
PROV67;エッセン;;;;;;;;;;X
PROV68;リエージュ;;;;;;;;;;X
PROV69;バストーニュ;;;;;;;;;;X
PROV70;アルロン;;;;;;;;;;X
PROV71;ルクセンブルク;;;;;;;;;;X
PROV72;メス;;;;;;;;;;X
PROV73;ストラスブール;;;;;;;;;;X
PROV74;ザールブリュッケン;;;;;;;;;;X
PROV75;ケルン;;;;;;;;;;X
PROV76;ドルトムント;;;;;;;;;;X
PROV77;アルンヘム;;;;;;;;;;X
PROV78;レーワルデン;;;;;;;;;;X
PROV79;フローニンヘン;;;;;;;;;;X
PROV80;ヴィルヘルムスハーフェン;;;;;;;;;;X
PROV81;ミュンスター;;;;;;;;;;X
PROV82;カッセル;;;;;;;;;;X
PROV83;シュヴァインフルト;;;;;;;;;;X
PROV84;エルフルト;;;;;;;;;;X
PROV85;ゲッティンゲン;;;;;;;;;;X
PROV86;ハノーファー;;;;;;;;;;X
PROV87;ブレーメン;;;;;;;;;;X
PROV88;ハンブルク;;;;;;;;;;X
PROV89;リューベック;;;;;;;;;;X
PROV90;キール;;;;;;;;;;X
PROV91;コリング;;;;;;;;;;X
PROV92;オーフス;;;;;;;;;;X
PROV93;マルメー;;;;;;;;;;X
PROV94;ノギンスク;;;;;;;;;;X
PROV95;カールスクルーナ;;;;;;;;;;X
PROV96;ゴットランド;;;;;;;;;;X
PROV97;イェンシェピング;;;;;;;;;;X
PROV98;イェーテボリ;;;;;;;;;;X
PROV99;シェーブデ;;;;;;;;;;X
PROV100;ノルシェーピング;;;;;;;;;;X
PROV101;ストックホルム;;;;;;;;;;X
PROV102;ウプサラ;;;;;;;;;;X
PROV103;オーランド諸島;;;;;;;;;;X
PROV104;ヴェステロース;;;;;;;;;;X
PROV105;カールスタード;;;;;;;;;;X
PROV106;オーモル;;;;;;;;;;X
PROV107;オスロ;;;;;;;;;;X
PROV108;クリスチャンサン;;;;;;;;;;X
PROV109;スタヴァンゲル;;;;;;;;;;X
PROV110;ベルゲン;;;;;;;;;;X
PROV111;ハーマル;;;;;;;;;;X
PROV112;ルドヴィカ;;;;;;;;;;X
PROV113;ファールン;;;;;;;;;;X
PROV114;イェーヴレ;;;;;;;;;;X
PROV115;スヴェイ;;;;;;;;;;X
PROV116;ロロス;;;;;;;;;;X
PROV117;オーレスン;;;;;;;;;;X
PROV118;トロンヘイム;;;;;;;;;;X
PROV119;エステルスンド;;;;;;;;;;X
PROV120;スンツバル;;;;;;;;;;X
PROV121;ヴィルヘルミナ;;;;;;;;;;X
PROV122;ウーメオ;;;;;;;;;;X
PROV123;イェリヴァレ;;;;;;;;;;X
PROV124;モイラーナ;;;;;;;;;;X
PROV125;ナルヴィク;;;;;;;;;;X
PROV126;キルナ;;;;;;;;;;X
PROV127;ルレオ;;;;;;;;;;X
PROV128;ハンメルフェスト;;;;;;;;;;X
PROV129;ヴァルド;;;;;;;;;;X
PROV130;ロヴァニエミ;;;;;;;;;;X
PROV131;トルニオ;;;;;;;;;;X
PROV132;ペッツァモ;;;;;;;;;;X
PROV133;ムルマンスク;;;;;;;;;;X
PROV134;コラ;;;;;;;;;;X
PROV135;カンダラクシャ;;;;;;;;;;X
PROV136;カヤーニ;;;;;;;;;;X
PROV137;オウル;;;;;;;;;;X
PROV138;ヴァーサ;;;;;;;;;;X
PROV139;セイナヨキ;;;;;;;;;;X
PROV140;ポリ;;;;;;;;;;X
PROV141;トゥルク;;;;;;;;;;X
PROV142;ヘルシンキ;;;;;;;;;;X
PROV143;タンペレ;;;;;;;;;;X
PROV144;ミッケリ;;;;;;;;;;X
PROV145;ヴィープリ;;;;;;;;;;X
PROV146;ソルタヴァラ;;;;;;;;;;X
PROV147;ユヴァスキュラ;;;;;;;;;;X
PROV148;クオピオ;;;;;;;;;;X
PROV149;ヨエンスー;;;;;;;;;;X
PROV150;ケミ;;;;;;;;;;X
PROV151;セゲージャ;;;;;;;;;;X
PROV152;ペトロザヴォツク;;;;;;;;;;X
PROV153;モロトフスク;;;;;;;;;;X
PROV154;アルハンゲリスク;;;;;;;;;;X
PROV155;ペンザ;;;;;;;;;;X
PROV156;バラショフ;;;;;;;;;;X
PROV157;ウリュピンスク;;;;;;;;;;X
PROV158;クズネツク;;;;;;;;;;X
PROV159;カムイシン;;;;;;;;;;X
PROV160;フロロヴォ;;;;;;;;;;X
PROV161;スロヴィーキノ;;;;;;;;;;X
PROV162;カラチ;;;;;;;;;;X
PROV163;スターリングラード;;;;;;;;;;X
PROV164;チェルニヤル;;;;;;;;;;X
PROV165;コノシャ;;;;;;;;;;X
PROV166;コストロマ;;;;;;;;;;X
PROV167;イヴァノヴォ;;;;;;;;;;X
PROV168;ゴーリキー;;;;;;;;;;X
PROV169;アルザマス;;;;;;;;;;X
PROV170;トチマ;;;;;;;;;;X
PROV171;ヴォロドガ;;;;;;;;;;X
PROV172;チェレポヴェッツ;;;;;;;;;;X
PROV173;ベジェーツク;;;;;;;;;;X
PROV174;カリーニン;;;;;;;;;;X
PROV175;モスクワ;;;;;;;;;;X
PROV176;ルイビンスク;;;;;;;;;;X
PROV177;ダニーロフ;;;;;;;;;;X
PROV178;ヤロスラヴリ;;;;;;;;;;X
PROV179;ムーロム;;;;;;;;;;X
PROV180;ヴラジーミル;;;;;;;;;;X
PROV181;カルガ;;;;;;;;;;X
PROV182;モジャイスク;;;;;;;;;;X
PROV183;ヴィテグラ;;;;;;;;;;X
PROV184;チフヴィン;;;;;;;;;;X
PROV185;ヴォルコフ;;;;;;;;;;X
PROV186;ルガ;;;;;;;;;;X
PROV187;レニングラード;;;;;;;;;;X
PROV188;キンギセップ;;;;;;;;;;X
PROV189;ノヴゴロド;;;;;;;;;;X
PROV190;スタラヤルッサ;;;;;;;;;;X
PROV191;ポルコフ;;;;;;;;;;X
PROV192;グドフ;;;;;;;;;;X
PROV193;ナルヴァ;;;;;;;;;;X
PROV194;タリン;;;;;;;;;;X
PROV195;タルトゥ;;;;;;;;;;X
PROV196;パルヌ;;;;;;;;;;X
PROV197;リガ;;;;;;;;;;X
PROV198;グルベネ;;;;;;;;;;X
PROV199;ヴォル;;;;;;;;;;X
PROV200;プスコフ;;;;;;;;;;X
PROV201;オポーチカ;;;;;;;;;;X
PROV202;ダウガフピルス;;;;;;;;;;X
PROV203;イェカピルス;;;;;;;;;;X
PROV204;イェルガヴァ;;;;;;;;;;X
PROV205;マジルベ;;;;;;;;;;X
PROV206;メーメル;;;;;;;;;;X
PROV207;カウナス;;;;;;;;;;X
PROV208;ヴィリニュス;;;;;;;;;;X
PROV209;グロドノ;;;;;;;;;;X
PROV210;バラノヴィチェ;;;;;;;;;;X
PROV211;リダ;;;;;;;;;;X
PROV212;ミンスク;;;;;;;;;;X
PROV213;モロデチノ;;;;;;;;;;X
PROV214;スヴィエチャニ;;;;;;;;;;X
PROV215;ノヴォルゼフ;;;;;;;;;;X
PROV216;ネヴェル;;;;;;;;;;X
PROV217;ヴィテプスク;;;;;;;;;;X
PROV218;オルシャ;;;;;;;;;;X
PROV219;スモレンスク;;;;;;;;;;X
PROV220;モギリョフ;;;;;;;;;;X
PROV221;ボブライスク;;;;;;;;;;X
PROV222;ルニニエク;;;;;;;;;;X
PROV223;;;;;;;;;;;X
PROV224;;;;;;;;;;;X
PROV225;モジル;;;;;;;;;;X
PROV226;コロステン;;;;;;;;;;X
PROV227;ジトミル;;;;;;;;;;X
PROV228;ヴィンニツヤ;;;;;;;;;;X
PROV229;スタニスワヴフ;;;;;;;;;;X
PROV230;ベリツィ;;;;;;;;;;X
PROV231;モギリョフポドルスキ;;;;;;;;;;X
PROV232;バルタ;;;;;;;;;;X
PROV233;オデッサ;;;;;;;;;;X
PROV234;ヘルソン;;;;;;;;;;X
PROV235;ドニプロペトロフスク;;;;;;;;;;X
PROV236;クリヴォイログ;;;;;;;;;;X
PROV237;チェルカッスィ;;;;;;;;;;X
PROV238;キエフ;;;;;;;;;;X
PROV239;プリルキ;;;;;;;;;;X
PROV240;ヴィシュゴロド;;;;;;;;;;X
PROV241;チェルニゴフ;;;;;;;;;;X
PROV242;コノトプ;;;;;;;;;;X
PROV243;クルスク;;;;;;;;;;X
PROV244;スーミ;;;;;;;;;;X
PROV245;ポルタヴァ;;;;;;;;;;X
PROV246;ザポロージェ;;;;;;;;;;X
PROV247;ベルゴロド;;;;;;;;;;X
PROV248;ハリコフ;;;;;;;;;;X
PROV249;スターリノ;;;;;;;;;;X
PROV250;メリトポリ;;;;;;;;;;X
PROV251;ペレコプ;;;;;;;;;;X
PROV252;イェヴパトリヤ;;;;;;;;;;X
PROV253;セヴァストポリ;;;;;;;;;;X
PROV254;ケルチ;;;;;;;;;;X
PROV255;ノヴォローシスク;;;;;;;;;;X
PROV256;クラスノダル;;;;;;;;;;X
PROV257;ティホレツク;;;;;;;;;;X
PROV258;ロストフ;;;;;;;;;;X
PROV259;カメンスクシャフティンスキー;;;;;;;;;;X
PROV260;ビロヴォツク;;;;;;;;;;X
PROV261;ロッソシュ;;;;;;;;;;X
PROV262;オストロゴツク;;;;;;;;;;X
PROV263;スヴォボダ;;;;;;;;;;X
PROV264;パヴロフスク;;;;;;;;;;X
PROV265;ボグチャル;;;;;;;;;;X
PROV266;カシャリー;;;;;;;;;;X
PROV267;ボコフスカヤ;;;;;;;;;;X
PROV268;モロゾフスク;;;;;;;;;;X
PROV269;コンスタンティノフスク;;;;;;;;;;X
PROV270;サルスク;;;;;;;;;;X
PROV271;コテルニコヴォ;;;;;;;;;;X
PROV272;ズロービン;;;;;;;;;;X
PROV273;ゴメリ;;;;;;;;;;X
PROV274;ロガチェフ;;;;;;;;;;X
PROV275;ロスラヴリ;;;;;;;;;;X
PROV276;クリンツィ;;;;;;;;;;X
PROV277;ブリヤンスク;;;;;;;;;;X
PROV278;トゥーラ;;;;;;;;;;X
PROV279;リャザン;;;;;;;;;;X
PROV280;タンボフ;;;;;;;;;;X
PROV281;リペツク;;;;;;;;;;X
PROV282;オリョール;;;;;;;;;;X
PROV283;ヴォロネジ;;;;;;;;;;X
PROV284;ボリスグレブスク;;;;;;;;;;X
PROV285;ヴャジマ;;;;;;;;;;X
PROV286;トロペツ;;;;;;;;;;X
PROV287;ヴェリーキエ・ルーキ;;;;;;;;;;X
PROV288;ルジェフ;;;;;;;;;;X
PROV289;デミャンスク;;;;;;;;;;X
PROV290;エーレスンド海峡;;;;;;;;;;X
PROV291;;;;;;;;;;;X
PROV292;オルボア;;;;;;;;;;X
PROV293;オーゼンセ;;;;;;;;;;X
PROV294;コペンハーゲン;;;;;;;;;;X
PROV295;ボーンホルム;;;;;;;;;;X
PROV296;ロストク;;;;;;;;;;X
PROV297;ヴォルフスブルク;;;;;;;;;;X
PROV298;マクデブルク;;;;;;;;;;X
PROV299;ポツダム;;;;;;;;;;X
PROV300;ベルリン;;;;;;;;;;X
PROV301;シュトラールズント;;;;;;;;;;X
PROV302;シュテッティン;;;;;;;;;;X
PROV303;ダンツィヒ;;;;;;;;;;X
PROV304;エルビング;;;;;;;;;;X
PROV305;トルン;;;;;;;;;;X
PROV306;ビドゴシュチ;;;;;;;;;;X
PROV307;ポズナニ;;;;;;;;;;X
PROV308;キュストリン;;;;;;;;;;X
PROV309;コットブス;;;;;;;;;;X
PROV310;ライプツィヒ;;;;;;;;;;X
PROV311;ドレスデン;;;;;;;;;;X
PROV312;ニュルンベルク;;;;;;;;;;X
PROV313;フランクフルト・アム・マイン;;;;;;;;;;X
PROV314;シュトゥットガルト;;;;;;;;;;X
PROV315;フライブルク;;;;;;;;;;X
PROV316;ミュルーズ;;;;;;;;;;X
PROV317;ショーモン;;;;;;;;;;X
PROV318;ディジョン;;;;;;;;;;X
PROV319;シャロン・シュル・ソーヌ;;;;;;;;;;X
PROV320;ヴィシー;;;;;;;;;;X
PROV321;シャトールー;;;;;;;;;;X
PROV322;リモージュ;;;;;;;;;;X
PROV323;ラロシェル;;;;;;;;;;X
PROV324;ベルジュラック;;;;;;;;;;X
PROV325;ボルドー;;;;;;;;;;X
PROV326;ダクス;;;;;;;;;;X
PROV327;オーシュ;;;;;;;;;;X
PROV328;ポー;;;;;;;;;;X
PROV329;ウェスカ;;;;;;;;;;X
PROV330;サラゴサ;;;;;;;;;;X
PROV331;ビルバオ;;;;;;;;;;X
PROV332;オビエド;;;;;;;;;;X
PROV333;ブルゴス;;;;;;;;;;X
PROV334;ラコルニャ;;;;;;;;;;X
PROV335;ポルト;;;;;;;;;;X
PROV336;リスボン;;;;;;;;;;X
PROV337;グアルダ;;;;;;;;;;X
PROV338;サラマンカ;;;;;;;;;;X
PROV339;バリャドリド;;;;;;;;;;X
PROV340;シグエンザ;;;;;;;;;;X
PROV341;マドリード;;;;;;;;;;X
PROV342;グアダラハラ;;;;;;;;;;X
PROV343;バダホス;;;;;;;;;;X
PROV344;エヴォラ;;;;;;;;;;X
PROV345;ファロ;;;;;;;;;;X
PROV346;ウェルヴァ;;;;;;;;;;X
PROV347;セヴィリヤ;;;;;;;;;;X
PROV348;ジブラルタル;;;;;;;;;;X
PROV349;マラガ;;;;;;;;;;X
PROV350;アルメリア;;;;;;;;;;X
PROV351;ハエン;;;;;;;;;;X
PROV352;ムルシア;;;;;;;;;;X
PROV353;アルバセテ;;;;;;;;;;X
PROV354;ヴァレンシア;;;;;;;;;;X
PROV355;カステリョン;;;;;;;;;;X
PROV356;タラゴナ;;;;;;;;;;X
PROV357;バルセロナ;;;;;;;;;;X
PROV358;ペルピニャン;;;;;;;;;;X
PROV359;トゥールーズ;;;;;;;;;;X
PROV360;クレルモンフェラン;;;;;;;;;;X
PROV361;サンテティエンヌ;;;;;;;;;;X
PROV362;モンペリエ;;;;;;;;;;X
PROV363;ニーム;;;;;;;;;;X
PROV364;マルセイユ;;;;;;;;;;X
PROV365;トゥーロン;;;;;;;;;;X
PROV366;ニース;;;;;;;;;;X
PROV367;コルシカ;;;;;;;;;;X
PROV368;ジェノヴァ;;;;;;;;;;X
PROV369;ラスペツィア;;;;;;;;;;X
PROV370;ミラノ;;;;;;;;;;X
PROV371;トレント;;;;;;;;;;X
PROV372;クール;;;;;;;;;;X
PROV373;レヒ;;;;;;;;;;X
PROV374;フリードリヒスハーフェン;;;;;;;;;;X
PROV375;レーゲンスブルク;;;;;;;;;;X
PROV376;ミュンヘン;;;;;;;;;;X
PROV377;インスブルック;;;;;;;;;;X
PROV378;ヴェネツィア;;;;;;;;;;X
PROV379;フェラーラ;;;;;;;;;;X
PROV380;リュブリャナ;;;;;;;;;;X
PROV381;リエカ;;;;;;;;;;X
PROV382;ザクレブ;;;;;;;;;;X
PROV383;バニャルカ;;;;;;;;;;X
PROV384;スプリト;;;;;;;;;;X
PROV385;ゼニツァ;;;;;;;;;;X
PROV386;サラエボ;;;;;;;;;;X
PROV387;モスタル;;;;;;;;;;X
PROV388;ドゥブロヴニク;;;;;;;;;;X
PROV389;ポドゴリツァ;;;;;;;;;;X
PROV390;ティラナ;;;;;;;;;;X
PROV391;ヴロレ;;;;;;;;;;X
PROV392;イオアニナ;;;;;;;;;;X
PROV393;ケファロニア;;;;;;;;;;X
PROV394;パトラ;;;;;;;;;;X
PROV395;コリントス;;;;;;;;;;X
PROV396;クレタ;;;;;;;;;;X
PROV397;マルマラ海;;;;;;;;;;X
PROV398;ドデカネス諸島;;;;;;;;;;X
PROV399;ロードス島;;;;;;;;;;X
PROV400;キクラデス諸島;;;;;;;;;;X
PROV401;アテネ;;;;;;;;;;X
PROV402;アグリニオン;;;;;;;;;;X
PROV403;ラリッサ;;;;;;;;;;X
PROV404;ハイファ;;;;;;;;;;X
PROV405;ダーダネルス海峡;;;;;;;;;;X
PROV406;エイラート;;;;;;;;;;X
PROV407;アルワイシド;;;;;;;;;;X
PROV408;ブルサ;;;;;;;;;;X
PROV409;イスタンブール;;;;;;;;;;X
PROV410;カヴァラ;;;;;;;;;;X
PROV411;サロニカ;;;;;;;;;;X
PROV412;エデッサ;;;;;;;;;;X
PROV413;スコピエ;;;;;;;;;;X
PROV414;シュティップ;;;;;;;;;;X
PROV415;プリシュティナ;;;;;;;;;;X
PROV416;ゴルナジュマヤ;;;;;;;;;;X
PROV417;ソフィア;;;;;;;;;;X
PROV418;ニシュ;;;;;;;;;;X
PROV419;ヴラツァ;;;;;;;;;;X
PROV420;プレヴェン;;;;;;;;;;X
PROV421;プロヴディフ;;;;;;;;;;X
PROV422;ヴァルナ;;;;;;;;;;X
PROV423;コンスタンツァ;;;;;;;;;;X
PROV424;ブカレスト;;;;;;;;;;X
PROV425;ピテシュティ;;;;;;;;;;X
PROV426;クラヨーヴァ;;;;;;;;;;X
PROV427;シビウ;;;;;;;;;;X
PROV428;クルージュナポカ;;;;;;;;;;X
PROV429;バカウ;;;;;;;;;;X
PROV430;ブラショフ;;;;;;;;;;X
PROV431;プロイェシュティ;;;;;;;;;;X
PROV432;ブライラ;;;;;;;;;;X
PROV433;ヤシ;;;;;;;;;;X
PROV434;キシナウ;;;;;;;;;;X
PROV435;イズマイール;;;;;;;;;;X
PROV436;トゥルチャ;;;;;;;;;;X
PROV437;イズミル;;;;;;;;;;X
PROV438;アンタリヤ;;;;;;;;;;X
PROV439;イズミット;;;;;;;;;;X
PROV440;カラビュク;;;;;;;;;;X
PROV441;アフヨンカラヒサル;;;;;;;;;;X
PROV442;コニヤ;;;;;;;;;;X
PROV443;メルシン;;;;;;;;;;X
PROV444;キプロス;;;;;;;;;;X
PROV445;ガジアンテップ;;;;;;;;;;X
PROV446;カイセリ;;;;;;;;;;X
PROV447;シワス;;;;;;;;;;X
PROV448;アンカラ;;;;;;;;;;X
PROV449;サムソン;;;;;;;;;;X
PROV450;トレビゾンド;;;;;;;;;;X
PROV451;ノーヴィパザル;;;;;;;;;;X
PROV452;ウジチェ;;;;;;;;;;X
PROV453;ベオグラード;;;;;;;;;;X
PROV454;オシエク;;;;;;;;;;X
PROV455;ビェロヴァル;;;;;;;;;;X
PROV456;ペーチ;;;;;;;;;;X
PROV457;ブダペスト;;;;;;;;;;X
PROV458;ジェール;;;;;;;;;;X
PROV459;マリボル;;;;;;;;;;X
PROV460;グラーツ;;;;;;;;;;X
PROV461;クラーゲンフルト;;;;;;;;;;X
PROV462;ザルツブルク;;;;;;;;;;X
PROV463;ウィーン;;;;;;;;;;X
PROV464;ホラブルン;;;;;;;;;;X
PROV465;リンツ;;;;;;;;;;X
PROV466;ストラコニツェ;;;;;;;;;;X
PROV467;ターボル;;;;;;;;;;X
PROV468;クトナーホラ;;;;;;;;;;X
PROV469;プラハ;;;;;;;;;;X
PROV470;プルゼニ;;;;;;;;;;X
PROV471;ウースチー;;;;;;;;;;X
PROV472;リベレツ;;;;;;;;;;X
PROV473;ブレスラウ;;;;;;;;;;X
PROV474;オストラヴァ;;;;;;;;;;X
PROV475;ブルノ;;;;;;;;;;X
PROV476;ブラティスラヴァ;;;;;;;;;;X
PROV477;バンスカー・ビストリツァ;;;;;;;;;;X
PROV478;ジリナ;;;;;;;;;;X
PROV479;クラクフ;;;;;;;;;;X
PROV480;キエルツェ;;;;;;;;;;X
PROV481;チェンストホヴァ;;;;;;;;;;X
PROV482;オッペルン;;;;;;;;;;X
PROV483;ウーチ;;;;;;;;;;X
PROV484;ラドム;;;;;;;;;;X
PROV485;ワルシャワ;;;;;;;;;;X
PROV486;ロムツァ;;;;;;;;;;X
PROV487;ルブリン;;;;;;;;;;X
PROV488;ザモシチ;;;;;;;;;;X
PROV489;プシェミシュル;;;;;;;;;;X
PROV490;コシツェ;;;;;;;;;;X
PROV491;ミシュコルツ;;;;;;;;;;X
PROV492;セゲド;;;;;;;;;;X
PROV493;ノヴィサド;;;;;;;;;;X
PROV494;ズレニャニン;;;;;;;;;;X
PROV495;ティミショアラ;;;;;;;;;;X
PROV496;アラド;;;;;;;;;;X
PROV497;デブレツェン;;;;;;;;;;X
PROV498;サトゥマレ;;;;;;;;;;X
PROV499;プレショフ;;;;;;;;;;X
PROV500;ストルイ;;;;;;;;;;X
PROV501;リヴィウ;;;;;;;;;;X
PROV502;タルノポリ;;;;;;;;;;X
PROV503;ピンスク;;;;;;;;;;X
PROV504;ブレストリトフスク;;;;;;;;;;X
PROV505;ビェルスク;;;;;;;;;;X
PROV506;コヴェル;;;;;;;;;;X
PROV507;スロニム;;;;;;;;;;X
PROV508;ビヤウィストク;;;;;;;;;;X
PROV509;スヴァウキ;;;;;;;;;;X
PROV510;ケーニヒスベルク;;;;;;;;;;X
PROV511;アリトゥス;;;;;;;;;;X
PROV512;ボローニャ;;;;;;;;;;X
PROV513;フィレンツェ;;;;;;;;;;X
PROV514;リミニ;;;;;;;;;;X
PROV515;ローマ;;;;;;;;;;X
PROV516;ペルージャ;;;;;;;;;;X
PROV517;ペスカラ;;;;;;;;;;X
PROV518;カッシーノ;;;;;;;;;;X
PROV519;アンツィオ;;;;;;;;;;X
PROV520;フォッジア;;;;;;;;;;X
PROV521;ナポリ;;;;;;;;;;X
PROV522;ポテンツァ;;;;;;;;;;X
PROV523;タラント;;;;;;;;;;X
PROV524;レッジョ・ディ・カラブリア;;;;;;;;;;X
PROV525;パレルモ;;;;;;;;;;X
PROV526;カターニャ;;;;;;;;;;X
PROV527;グルノーブル;;;;;;;;;;X
PROV528;リヨン;;;;;;;;;;X
PROV529;ブザンソン;;;;;;;;;;X
PROV530;ジュネーヴ;;;;;;;;;;X
PROV531;トリノ;;;;;;;;;;X
PROV532;ベルン;;;;;;;;;;X
PROV533;チューリヒ;;;;;;;;;;X
PROV534;サルデーニャ;;;;;;;;;;X
PROV535;マジョルカ;;;;;;;;;;X
PROV536;メノルカ;;;;;;;;;;X
PROV537;イビザ;;;;;;;;;;X
PROV538;バミューダ;;;;;;;;;;X
PROV539;マナグア;;;;;;;;;;X
PROV540;サンノゼ;;;;;;;;;;X
PROV541;バンクーバー;;;;;;;;;;X
PROV542;キスカ島;;;;;;;;;;X
PROV543;アムチトカ島;;;;;;;;;;X
PROV544;アンドレアノフ諸島;;;;;;;;;;X
PROV545;ユナスカ島;;;;;;;;;;X
PROV546;ウムナック島;;;;;;;;;;X
