;;;;;;;;;;;X
PROV547;ウナラスカ島;;;;;;;;;;X
PROV548;ユニマック島;;;;;;;;;;X
PROV549;アンカレッジ;;;;;;;;;;X
PROV550;スーアード半島;;;;;;;;;;X
PROV551;フェアバンクス;;;;;;;;;;X
PROV552;ホワイトホース;;;;;;;;;;X
PROV553;ジュノー;;;;;;;;;;X
PROV554;プリンスジョージ;;;;;;;;;;X
PROV555;カムループス;;;;;;;;;;X
PROV556;バンクーバー島;;;;;;;;;;X
PROV557;フォートマクマリー;;;;;;;;;;X
PROV558;イエローナイフ;;;;;;;;;;X
PROV559;クグルクトゥク;;;;;;;;;;X
PROV560;リパルス湾;;;;;;;;;;X
PROV561;ランキン入江;;;;;;;;;;X
PROV562;ロウネ;;;;;;;;;;X
PROV563;バフィン島;;;;;;;;;;X
PROV564;ラディソン;;;;;;;;;;X
PROV565;フォートセヴァーン;;;;;;;;;;X
PROV566;チャーチル;;;;;;;;;;X
PROV567;ドーフィン;;;;;;;;;;X
PROV568;ブランドン;;;;;;;;;;X
PROV569;ウィニペグ;;;;;;;;;;X
PROV570;ノルウェーハウス;;;;;;;;;;X
PROV571;サンダーベイ;;;;;;;;;;X
PROV572;スーセントマリー;;;;;;;;;;X
PROV573;ヴァルドール;;;;;;;;;;X
PROV574;セティル;;;;;;;;;;X
PROV575;ラブラドル;;;;;;;;;;X
PROV576;ニューファンドランド;;;;;;;;;;X
PROV577;シャウリャイ;;;;;;;;;;X
PROV578;ケープ・ブレトン;;;;;;;;;;X
PROV579;ハリファックス;;;;;;;;;;X
PROV580;マンクトン;;;;;;;;;;X
PROV581;セントジョン;;;;;;;;;;X
PROV582;グリーンヴィル;;;;;;;;;;X
PROV583;ポートランド;;;;;;;;;;X
PROV584;シャーブルック;;;;;;;;;;X
PROV585;モントリオール;;;;;;;;;;X
PROV586;ケベックシティー;;;;;;;;;;X
PROV587;ガティノー;;;;;;;;;;X
PROV588;オタワ;;;;;;;;;;X
PROV589;トロント;;;;;;;;;;X
PROV590;ウィンザー;;;;;;;;;;X
PROV591;キングストン;;;;;;;;;;X
PROV592;プラッツバーグ;;;;;;;;;;X
PROV593;ウォータータウン;;;;;;;;;;X
PROV594;モンペリエ;;;;;;;;;;X
PROV595;コンコード;;;;;;;;;;X
PROV596;マンチェスター;;;;;;;;;;X
PROV597;ベニントン;;;;;;;;;;X
PROV598;オールバニー;;;;;;;;;;X
PROV599;ウースター;;;;;;;;;;X
PROV600;ボストン;;;;;;;;;;X
PROV601;ハートフォード;;;;;;;;;;X
PROV602;ニューヨーク;;;;;;;;;;X
PROV603;ニューアーク;;;;;;;;;;X
PROV604;アトランティックシティ;;;;;;;;;;X
PROV605;ドーバー;;;;;;;;;;X
PROV606;ワシントン D.C.;;;;;;;;;;X
PROV607;バルチモア;;;;;;;;;;X
PROV608;フィラデルフィア;;;;;;;;;;X
PROV609;ハリスバーグ;;;;;;;;;;X
PROV610;スクラントン;;;;;;;;;;X
PROV611;アルトゥーナ;;;;;;;;;;X
PROV612;シラキュース;;;;;;;;;;X
PROV613;バッファロー;;;;;;;;;;X
PROV614;ピッツバーグ;;;;;;;;;;X
PROV615;クリーヴランド;;;;;;;;;;X
PROV616;デトロイト;;;;;;;;;;X
PROV617;フリント;;;;;;;;;;X
PROV618;グランドラピッズ;;;;;;;;;;X
PROV619;インディアナポリス;;;;;;;;;;X
PROV620;シカゴ;;;;;;;;;;X
PROV621;ミルウォーキー;;;;;;;;;;X
PROV622;マルケット;;;;;;;;;;X
PROV623;グリーンベイ;;;;;;;;;;X
PROV624;マディソン;;;;;;;;;;X
PROV625;ピオリア;;;;;;;;;;X
PROV626;ディケーター;;;;;;;;;;X
PROV627;エヴァンズヴィル;;;;;;;;;;X
PROV628;コロンバス;;;;;;;;;;X
PROV629;チャールストン;;;;;;;;;;X
PROV630;クラークスバーグ;;;;;;;;;;X
PROV631;シャーロッツヴィル;;;;;;;;;;X
PROV632;リッチモンド;;;;;;;;;;X
PROV633;ノーフォーク;;;;;;;;;;X
PROV634;ウィルミントン;;;;;;;;;;X
PROV635;フェイエットヴィル;;;;;;;;;;X
PROV636;ローリー;;;;;;;;;;X
PROV637;シャルロット;;;;;;;;;;X
PROV638;ロアノーク;;;;;;;;;;X
PROV639;マリオン;;;;;;;;;;X
PROV640;ルイヴィル;;;;;;;;;;X
PROV641;オーエンズバラ;;;;;;;;;;X
PROV642;ナッシュヴィル;;;;;;;;;;X
PROV643;アッシュヴィル;;;;;;;;;;X
PROV644;チャールストン;;;;;;;;;;X
PROV645;コロンビア;;;;;;;;;;X
PROV646;サヴァナ;;;;;;;;;;X
PROV647;メーコン;;;;;;;;;;X
PROV648;ジャクソンヴィル;;;;;;;;;;X
PROV649;タンパ;;;;;;;;;;X
PROV650;オーランド;;;;;;;;;;X
PROV651;マイアミ;;;;;;;;;;X
PROV652;アンドロス;;;;;;;;;;X
PROV653;ニュープロヴィデンス;;;;;;;;;;X
PROV654;ハバナ;;;;;;;;;;X
PROV655;サンタクララ;;;;;;;;;;X
PROV656;カマグエイ;;;;;;;;;;X
PROV657;グアンタナモ;;;;;;;;;;X
PROV658;ハワイ;;;;;;;;;;X
PROV659;マウイ;;;;;;;;;;X
PROV660;カウアイ;;;;;;;;;;X
PROV661;ニーハウ;;;;;;;;;;X
PROV662;ミッドウェイ諸島;;;;;;;;;;X
PROV663;パールハーバー;;;;;;;;;;X
PROV664;グランドバハマ;;;;;;;;;;X
PROV665;アバコ島;;;;;;;;;;X
PROV666;エリューセラ;;;;;;;;;;X
PROV667;ブエノスアイレス;;;;;;;;;;X
PROV668;ロングアイランド;;;;;;;;;;X
PROV669;オーガスタ;;;;;;;;;;X
PROV670;アトランタ;;;;;;;;;;X
PROV671;チャタヌーガ;;;;;;;;;;X
PROV672;バーミングハム;;;;;;;;;;X
PROV673;メンフィス;;;;;;;;;;X
PROV674;グリーンヴィル;;;;;;;;;;X
PROV675;ジャクソン;;;;;;;;;;X
PROV676;モービル;;;;;;;;;;X
PROV677;タラハシー;;;;;;;;;;X
PROV678;ビロクシ;;;;;;;;;;X
PROV679;バトンルージュ;;;;;;;;;;X
PROV680;ニューオーリンズ;;;;;;;;;;X
PROV681;アレクサンドリア;;;;;;;;;;X
PROV682;モンロー;;;;;;;;;;X
PROV683;パインブラフ;;;;;;;;;;X
PROV684;リトルロック;;;;;;;;;;X
PROV685;ジョーンズボロ;;;;;;;;;;X
PROV686;フォートスミス;;;;;;;;;;X
PROV687;ケープジラードー;;;;;;;;;;X
PROV688;スプリングフィールド;;;;;;;;;;X
PROV689;セントルイス;;;;;;;;;;X
PROV690;カンザスシティー;;;;;;;;;;X
PROV691;シーダーラピッズ;;;;;;;;;;X
PROV692;デモイン;;;;;;;;;;X
PROV693;ミネアポリス;;;;;;;;;;X
PROV694;ダルース;;;;;;;;;;X
PROV695;ムーアヘッド;;;;;;;;;;X
PROV696;ワージントン;;;;;;;;;;X
PROV697;ファーゴ;;;;;;;;;;X
PROV698;ビズマーク;;;;;;;;;;X
PROV699;ディキンソン;;;;;;;;;;X
PROV700;フォートペック;;;;;;;;;;X
PROV701;マイルズシティー;;;;;;;;;;X
PROV702;ドッドソン;;;;;;;;;;X
PROV703;ビリングズ;;;;;;;;;;X
PROV704;キャスパー;;;;;;;;;;X
PROV705;ロックスプリングズ;;;;;;;;;;X
PROV706;グランドジャンクション;;;;;;;;;;X
PROV707;デンバー;;;;;;;;;;X
PROV708;アスペン;;;;;;;;;;X
PROV709;プエブロ;;;;;;;;;;X
PROV710;ドッジシティー;;;;;;;;;;X
PROV711;ウィチタ;;;;;;;;;;X
PROV712;イーニッド;;;;;;;;;;X
PROV713;オクラホマシティ;;;;;;;;;;X
PROV714;ロートン;;;;;;;;;;X
PROV715;ダラス;;;;;;;;;;X
PROV716;ヒューストン;;;;;;;;;;X
PROV717;サンアントニオ;;;;;;;;;;X
PROV718;エルパソ;;;;;;;;;;X
PROV719;アビリーン;;;;;;;;;;X
PROV720;アマリロ;;;;;;;;;;X
PROV721;ラボック;;;;;;;;;;X
PROV722;ロズウェル;;;;;;;;;;X
PROV723;ラスクルーセス;;;;;;;;;;X
PROV724;アルバカーキ;;;;;;;;;;X
PROV725;サンタフェ;;;;;;;;;;X
PROV726;ロスアラモス;;;;;;;;;;X
PROV727;シルヴァーシティー;;;;;;;;;;X
PROV728;トゥーソン;;;;;;;;;;X
PROV729;ユマ;;;;;;;;;;X
PROV730;フェニックス;;;;;;;;;;X
PROV731;デラノピーク;;;;;;;;;;X
PROV732;プロヴォ;;;;;;;;;;X
PROV733;ソルトレイクシティ;;;;;;;;;;X
PROV734;ラスヴェガス;;;;;;;;;;X
PROV735;モハーヴェ砂漠;;;;;;;;;;X
PROV736;インペリアルヴァレー;;;;;;;;;;X
PROV737;メヒカリ;;;;;;;;;;X
PROV738;ラパス;;;;;;;;;;X
PROV739;エルモシヨ;;;;;;;;;;X
PROV740;ノガレス;;;;;;;;;;X
PROV741;シウダードフアレス;;;;;;;;;;X
PROV742;チワワ;;;;;;;;;;X
PROV743;クリアカン;;;;;;;;;;X
PROV744;ドゥランゴ;;;;;;;;;;X
PROV745;モンゥローヴァ;;;;;;;;;;X
PROV746;ミッドランド;;;;;;;;;;X
PROV747;モンテレー;;;;;;;;;;X
PROV748;コーパスクリスティ;;;;;;;;;;X
PROV749;タンピコ;;;;;;;;;;X
PROV750;レオン;;;;;;;;;;X
PROV751;グアダラハラ;;;;;;;;;;X
PROV752;メキシコシティー;;;;;;;;;;X
PROV753;プエブラ;;;;;;;;;;X
PROV754;アカプルコ;;;;;;;;;;X
PROV755;ビヤエルモサ;;;;;;;;;;X
PROV756;メリダ;;;;;;;;;;X
PROV757;グアテマラ;;;;;;;;;;X
PROV758;ベリーズ;;;;;;;;;;X
PROV759;サンサルバドル;;;;;;;;;;X
PROV760;テグシガルパ;;;;;;;;;;X
PROV761;サンディエゴ;;;;;;;;;;X
PROV762;ロサンゼルス;;;;;;;;;;X
PROV763;フレズノ;;;;;;;;;;X
PROV764;サクラメント;;;;;;;;;;X
PROV765;サンフランシスコ;;;;;;;;;;X
PROV766;レディング;;;;;;;;;;X
PROV767;シエラネヴァダ山脈;;;;;;;;;;X
PROV768;リノ;;;;;;;;;;X
PROV769;ハーニー盆地;;;;;;;;;;X
PROV770;ポカテロ;;;;;;;;;;X
PROV771;ボイシ;;;;;;;;;;X
PROV772;アナコンダ;;;;;;;;;;X
PROV773;ミズーラ;;;;;;;;;;X
PROV774;グレートフォールズ;;;;;;;;;;X
PROV775;ビュート;;;;;;;;;;X
PROV776;ルイストン;;;;;;;;;;X
PROV777;エルクシティー;;;;;;;;;;X
PROV778;ブルー山脈;;;;;;;;;;X
PROV779;スポーケン;;;;;;;;;;X
PROV780;シアトル;;;;;;;;;;X
PROV781;リッチランド;;;;;;;;;;X
PROV782;タコマ;;;;;;;;;;X
PROV783;ポートランド;;;;;;;;;;X
PROV784;フッド山;;;;;;;;;;X
PROV785;クラマスフォールズ;;;;;;;;;;X
PROV786;ユージーン;;;;;;;;;;X
PROV787;ラピッドシティー;;;;;;;;;;X
PROV788;スーフォールズ;;;;;;;;;;X
PROV789;オマハ;;;;;;;;;;X
PROV790;スコッツブラフ;;;;;;;;;;X
PROV791;スモーキーヒル川;;;;;;;;;;X
PROV792;トピーカ;;;;;;;;;;X
PROV793;タルサ;;;;;;;;;;X
PROV794;フォートレゾリューション;;;;;;;;;;X
PROV795;プリンスアルバート;;;;;;;;;;X
PROV796;エドモントン;;;;;;;;;;X
PROV797;カルガリー;;;;;;;;;;X
PROV798;サスカトゥーン;;;;;;;;;;X
PROV799;レジャイナ;;;;;;;;;;X
PROV800;グリーンランド;;;;;;;;;;X
PROV801;クラサオ;;;;;;;;;;X
PROV802;バルキシメト;;;;;;;;;;X
PROV803;バランキーヤ;;;;;;;;;;X
PROV804;マラカイボ;;;;;;;;;;X
PROV805;セントルシア;;;;;;;;;;X
PROV806;セントジョージズ;;;;;;;;;;X
PROV807;バルバドス;;;;;;;;;;X
PROV808;トバゴ;;;;;;;;;;X
PROV809;トリニダード;;;;;;;;;;X
PROV810;クマナ;;;;;;;;;;X
PROV811;カラカス;;;;;;;;;;X
PROV812;ククタ;;;;;;;;;;X
PROV813;ボゴタ;;;;;;;;;;X
PROV814;グアヤキル;;;;;;;;;;X
PROV815;キト;;;;;;;;;;X
PROV816;トルヒーヨ;;;;;;;;;;X
PROV817;ティグレ;;;;;;;;;;X
PROV818;イキトス;;;;;;;;;;X
PROV819;ミツ;;;;;;;;;;X
PROV820;ソリモンエス川;;;;;;;;;;X
PROV821;プカイパ;;;;;;;;;;X
PROV822;リオブランコ;;;;;;;;;;X
PROV823;テフェ;;;;;;;;;;X
PROV824;マナウス;;;;;;;;;;X
PROV825;ポルトヴェーリョ;;;;;;;;;;X
PROV826;サンタレン;;;;;;;;;;X
PROV827;リベラルタ;;;;;;;;;;X
PROV828;コビハ;;;;;;;;;;X
PROV829;クスコ;;;;;;;;;;X
PROV830;リマ;;;;;;;;;;X
PROV831;アレキパ;;;;;;;;;;X
PROV832;ラパス;;;;;;;;;;X
PROV833;ペルセヴェランチャ;;;;;;;;;;X
PROV834;クイアバ;;;;;;;;;;X
PROV835;マトグロッソ;;;;;;;;;;X
PROV836;サンタクルス;;;;;;;;;;X
PROV837;アスンシオン;;;;;;;;;;X
PROV838;スクレ;;;;;;;;;;X
PROV839;アントファガスタ;;;;;;;;;;X
PROV840;サンティアゴ;;;;;;;;;;X
PROV841;ファン・フェルナンデス諸島;;;;;;;;;;X
PROV842;サン・フェリクス島;;;;;;;;;;X
PROV843;サンミゲルデトゥクマン;;;;;;;;;;X
PROV844;コリエンテス;;;;;;;;;;X
PROV845;コルドバ;;;;;;;;;;X
PROV846;シウダーデルエステ;;;;;;;;;;X
PROV847;クリティバ;;;;;;;;;;X
PROV848;ポルトアレグレ;;;;;;;;;;X
PROV849;モンテビデオ;;;;;;;;;;X
PROV850;コンコルディア;;;;;;;;;;X
PROV851;ロサリオ;;;;;;;;;;X
PROV852;マルデルプラタ;;;;;;;;;;X
PROV853;バイアブランカ;;;;;;;;;;X
PROV854;ビエドマ;;;;;;;;;;X
PROV855;ネウケン;;;;;;;;;;X
PROV856;プエルトモント;;;;;;;;;;X
PROV857;プエルトマドリン;;;;;;;;;;X
PROV858;コモドロリヴァダヴィア;;;;;;;;;;X
PROV859;サンカルロスデバリローチェ;;;;;;;;;;X
PROV860;プエルトアイセン;;;;;;;;;;X
PROV861;ウェリントン;;;;;;;;;;X
PROV862;サルミエント;;;;;;;;;;X
PROV863;サンタクルス;;;;;;;;;;X
PROV864;プンタアレナス;;;;;;;;;;X
PROV865;ティエラデルフエゴ;;;;;;;;;;X
PROV866;フォークランド諸島;;;;;;;;;;X
PROV867;アンゴストゥラフォールズ;;;;;;;;;;X
PROV868;イニリダ;;;;;;;;;;X
PROV869;シウダードボリーヴァル;;;;;;;;;;X
PROV870;シウダードグアヤナ;;;;;;;;;;X
PROV871;クユニ川;;;;;;;;;;X
PROV872;ボアヴィスタ;;;;;;;;;;X
PROV873;ジョージタウン;;;;;;;;;;X
PROV874;パラマリボ;;;;;;;;;;X
PROV875;カイエンヌ;;;;;;;;;;X
PROV876;マカパ;;;;;;;;;;X
PROV877;マラジョ;;;;;;;;;;X
PROV878;マラバ;;;;;;;;;;X
PROV879;ベレン;;;;;;;;;;X
PROV880;フォルタレザ;;;;;;;;;;X
PROV881;レシフェ;;;;;;;;;;X
PROV882;サルヴァドル;;;;;;;;;;X
PROV883;ゴイアス;;;;;;;;;;X
PROV884;ヴィトリア;;;;;;;;;;X
PROV885;リオデジャネイロ;;;;;;;;;;X
PROV886;サンパウロ;;;;;;;;;;X
PROV887;カンピナス;;;;;;;;;;X
PROV888;パナマ;;;;;;;;;;X
PROV889;コロン;;;;;;;;;;X
PROV890;メデリン;;;;;;;;;;X
PROV891;ジャマイカ;;;;;;;;;;X
PROV892;ポルトープランス;;;;;;;;;;X
PROV893;サンティアゴ;;;;;;;;;;X
PROV894;サントドミンゴ;;;;;;;;;;X
PROV895;プエルトリコ;;;;;;;;;;X
PROV896;ヴァージン諸島;;;;;;;;;;X
PROV897;アンティグア;;;;;;;;;;X
PROV898;グアデルーペ;;;;;;;;;;X
PROV899;マルティニク;;;;;;;;;;X
PROV900;スエズ;;;;;;;;;;X
PROV901;ポートサイド;;;;;;;;;;X
PROV902;ザガジグ;;;;;;;;;;X
PROV903;カイロ;;;;;;;;;;X
PROV904;タンタ;;;;;;;;;;X
PROV905;ファイユーム;;;;;;;;;;X
PROV906;アレクサンドリア;;;;;;;;;;X
PROV907;カッタラ低地;;;;;;;;;;X
PROV908;ゲラウラ;;;;;;;;;;X
PROV909;エルアラメイン;;;;;;;;;;X
PROV910;フーカ;;;;;;;;;;X
PROV911;メルサマトルー;;;;;;;;;;X
PROV912;ニベイワ;;;;;;;;;;X
PROV913;ラビア;;;;;;;;;;X
PROV914;シディバラニ;;;;;;;;;;X
PROV915;ソルム;;;;;;;;;;X
PROV916;バルディーヤ;;;;;;;;;;X
PROV917;カプッツォ砦;;;;;;;;;;X
PROV918;マッダレーナ砦;;;;;;;;;;X
PROV919;トブルク;;;;;;;;;;X
PROV920;デルナ;;;;;;;;;;X
PROV921;メキリ;;;;;;;;;;X
PROV922;ムスス;;;;;;;;;;X
PROV923;バルカ;;;;;;;;;;X
PROV924;ベンガジ;;;;;;;;;;X
PROV925;アゲダビア;;;;;;;;;;X
PROV926;アルジャグバブ;;;;;;;;;;X
PROV927;アウジラ;;;;;;;;;;X
PROV928;ソクナ;;;;;;;;;;X
PROV929;シルテ;;;;;;;;;;X
PROV930;ホムス;;;;;;;;;;X
PROV931;ガダメス;;;;;;;;;;X
PROV932;トリポリ;;;;;;;;;;X
PROV933;ズアラ;;;;;;;;;;X
PROV934;ガフサ;;;;;;;;;;X
PROV935;ガベス;;;;;;;;;;X
PROV936;スファックス;;;;;;;;;;X
PROV937;カセリーヌ;;;;;;;;;;X
PROV938;スーサ;;;;;;;;;;X
PROV939;チュニス;;;;;;;;;;X
PROV940;ビゼルト;;;;;;;;;;X
PROV941;タバルカ;;;;;;;;;;X
PROV942;ボン岬;;;;;;;;;;X
PROV943;コンスタンティーヌ;;;;;;;;;;X
PROV944;セティフ;;;;;;;;;;X
PROV945;フィリップヴィル;;;;;;;;;;X
PROV946;ブージー;;;;;;;;;;X
PROV947;ブリダ;;;;;;;;;;X
PROV948;マスカラ;;;;;;;;;;X
PROV949;アルジェ;;;;;;;;;;X
PROV950;モスタガネム;;;;;;;;;;X
PROV951;シディベルアベス;;;;;;;;;;X
PROV952;トレムセン;;;;;;;;;;X
PROV953;オラン;;;;;;;;;;X
PROV954;メリリャ;;;;;;;;;;X
PROV955;ヴィラサンジュロ;;;;;;;;;;X
PROV956;ウジダ;;;;;;;;;;X
PROV957;セウタ;;;;;;;;;;X
PROV958;カサブランカ;;;;;;;;;;X
PROV959;マラケシュ;;;;;;;;;;X
PROV960;モガドール;;;;;;;;;;X
PROV961;ランサローテ;;;;;;;;;;X
PROV962;フエルテヴェントゥラ;;;;;;;;;;X
PROV963;グラン・カナリア;;;;;;;;;;X
PROV964;テネリフェ;;;;;;;;;;X
PROV965;ラ・パルマ;;;;;;;;;;X
PROV966;アガディール;;;;;;;;;;X
PROV967;イフニ;;;;;;;;;;X
PROV968;ワザーン;;;;;;;;;;X
PROV969;ブーアルファ;;;;;;;;;;X
PROV970;ジェリーヴィル;;;;;;;;;;X
PROV971;エルアイウン;;;;;;;;;;X
PROV972;ヴィリャシスネロス;;;;;;;;;;X
PROV973;ポルテティエンヌ;;;;;;;;;;X
PROV974;フォールグーロー;;;;;;;;;;X
PROV975;タウデニ;;;;;;;;;;X
PROV976;ガオ;;;;;;;;;;X
PROV977;トンプクトゥ;;;;;;;;;;X
PROV978;モプティ;;;;;;;;;;X
PROV979;セグー;;;;;;;;;;X
PROV980;ニオロデュサヘル;;;;;;;;;;X
PROV981;ダカール;;;;;;;;;;X
PROV982;バサースト;;;;;;;;;;X
PROV983;ビサウ;;;;;;;;;;X
PROV984;タンバクンダ;;;;;;;;;;X
PROV985;カイエ;;;;;;;;;;X
PROV986;バマコ;;;;;;;;;;X
PROV987;コナクリ;;;;;;;;;;X
PROV988;フリータウン;;;;;;;;;;X
PROV989;ラベ;;;;;;;;;;X
PROV990;シギリ;;;;;;;;;;X
PROV991;カンカン;;;;;;;;;;X
PROV992;モンロヴィア;;;;;;;;;;X
PROV993;アビジャン;;;;;;;;;;X
PROV994;シカソ;;;;;;;;;;X
PROV995;ブアケ;;;;;;;;;;X
PROV996;ボボデュラッソ;;;;;;;;;;X
PROV997;ワガドゥグゥ;;;;;;;;;;X
PROV998;ニアメー;;;;;;;;;;X
PROV999;ソコト;;;;;;;;;;X
PROV1000;タマーレ;;;;;;;;;;X
PROV1001;クマシ;;;;;;;;;;X
PROV1002;アクラ;;;;;;;;;;X
PROV1003;ロメ;;;;;;;;;;X
PROV1004;バッサリ;;;;;;;;;;X
PROV1005;パラクー;;;;;;;;;;X
PROV1006;ポルトノヴォ;;;;;;;;;;X
PROV1007;イバダン;;;;;;;;;;X
PROV1008;ラゴス;;;;;;;;;;X
PROV1009;カドゥナ;;;;;;;;;;X
PROV1010;オニチャ;;;;;;;;;;X
PROV1011;ポートハーコート;;;;;;;;;;X
PROV1012;ガシャカ;;;;;;;;;;X
PROV1013;エルウェド;;;;;;;;;;X
PROV1014;フォールラプリンヌ;;;;;;;;;;X
PROV1015;ガート;;;;;;;;;;X
PROV1016;ムルズク;;;;;;;;;;X
PROV1017;カランショ砂漠;;;;;;;;;;X
PROV1018;アルクフラ;;;;;;;;;;X
PROV1019;リビア砂漠;;;;;;;;;;X
PROV1020;シーワ;;;;;;;;;;X
PROV1021;アインダラ;;;;;;;;;;X
PROV1022;西方砂漠;;;;;;;;;;X
PROV1023;アシュート;;;;;;;;;;X
PROV1024;ルクソール;;;;;;;;;;X
PROV1025;クセイル;;;;;;;;;;X
PROV1026;アスワン;;;;;;;;;;X
PROV1027;エドフ;;;;;;;;;;X
PROV1028;ワディハルファ;;;;;;;;;;X
PROV1029;ドンゴラ;;;;;;;;;;X
PROV1030;ポートスーダン;;;;;;;;;;X
PROV1031;ベルベル;;;;;;;;;;X
PROV1032;オムドゥルマン;;;;;;;;;;X
PROV1033;マッサワ;;;;;;;;;;X
PROV1034;オビア;;;;;;;;;;X
PROV1035;ベルベラ;;;;;;;;;;X
PROV1036;ゼイラ;;;;;;;;;;X
PROV1037;ジブチ;;;;;;;;;;X
PROV1038;アッサブ;;;;;;;;;;X
PROV1039;アスマラ;;;;;;;;;;X
PROV1040;カッサラ;;;;;;;;;;X
PROV1041;ガラバト;;;;;;;;;;X
PROV1042;ゴンダル;;;;;;;;;;X
PROV1043;デシ;;;;;;;;;;X
PROV1044;デブラマルコス;;;;;;;;;;X
PROV1045;ガンベラ;;;;;;;;;;X
PROV1046;アディスアベバ;;;;;;;;;;X
PROV1047;ジマ;;;;;;;;;;X
PROV1048;アドワ;;;;;;;;;;X
PROV1049;ダナキル;;;;;;;;;;X
PROV1050;ディレダワ;;;;;;;;;;X
PROV1051;ハラル;;;;;;;;;;X
PROV1052;ギニル;;;;;;;;;;X
PROV1053;モヤレ;;;;;;;;;;X
PROV1054;オガデン;;;;;;;;;;X
PROV1055;バルデラ;;;;;;;;;;X
PROV1056;モガディシュ;;;;;;;;;;X
PROV1057;;;;;;;;;;;X
PROV1058;キスマヨ;;;;;;;;;;X
PROV1059;マルサビト;;;;;;;;;;X
PROV1060;ナイロビ;;;;;;;;;;X
PROV1061;モンバサ;;;;;;;;;;X
PROV1062;タボラ;;;;;;;;;;X
PROV1063;キガリ;;;;;;;;;;X
PROV1064;エンテベ;;;;;;;;;;X
PROV1065;マラカル;;;;;;;;;;X
PROV1066;ハルトゥーム;;;;;;;;;;X
PROV1067;エルアトルゥン;;;;;;;;;;X
PROV1068;エルオベイド;;;;;;;;;;X
PROV1069;ワーウ;;;;;;;;;;X
PROV1070;バンガスー;;;;;;;;;;X
PROV1071;スタンリーヴィル;;;;;;;;;;X
PROV1072;ブータ;;;;;;;;;;X
PROV1073;コスターマンズヴィル;;;;;;;;;;X
PROV1074;コキアットヴィル;;;;;;;;;;X
PROV1075;ブラザヴィル;;;;;;;;;;X
PROV1076;インプフォンド;;;;;;;;;;X
PROV1077;ヤウンデ;;;;;;;;;;X
PROV1078;バンギ;;;;;;;;;;X
PROV1079;フォールアルシャンボー;;;;;;;;;;X
